ticker,company_name,industry
EBS,Erste Group Bank AG,financials
H2O,S.P.E.E.H. Hidroelectrica S.A.,utilities
SNP,OMV Petrom S.A.,energy
TLV,Banca Transilvania S.A.,financials
SNG,SNGN Romgaz SA,energy
SNN,S.N. Nuclearelectrica S.A.,utilities
BRD,BRD - Groupe Société Générale S.A.,financials
DIGI,Digi Communications N.V.,telecom
TGN,S.N.T.G.N. Transgaz S.A.,energy
EL,Societatea Energetica Electrica S.A.,utilities
TEL,CNTEE Transelectrica SA,utilities
M,Med Life S.A.,healthcare
SCD,Zentiva S.A.,healthcare
CRC,Chimcomplex S.A.,materials
PE,Premier Energy PLC,utilities
ONE,One United Properties SA,realestate
RRC,Rompetrol Rafinare S.A.,energy
AQ,Aquila Part Prod Com S.A.,logistics
ATB,Antibiotice S.A.,healthcare
SFG,Sphera Franchise Group S.A.,restaurants
LION,Lion Capital S.A.,financials
ARS,Aerostar S.A.,aerospace
EVER,Evergent Investments SA,financials
TRP,Teraplast S.A.,materials
ALR,Alro S.A.,materials
FP,Fondul Proprietatea SA,financials
GREEN,Green Tech International S.A.,technology
INFINITY,Infinity Capital Investments S.A.,financials
SOCP,SOCEP S.A.,construction
TTS,TTS (Transport Trade Services) S.A.,transport
BIO,Biofarm S.A.,healthcare
WINE,Purcari Wineries Public Company Limited,food_beverage
CMVX,Comvex S.A.,logistics
COTE,Conpet S.A.,energy
AROBS,AROBS Transilvania Software S.A.,technology
IMP,Impact Developer & Contractor S.A.,realestate
SMTL,Simtel Team S.A.,technology
OIL,Oil Terminal S.A.,energy
BVB,Bursa de Valori Bucuresti SA,financials
DN,Dn Agrar Group S.A.,agriculture
GSH,GRUP SERBAN HOLDING SA,financials
PBK,Patria Bank SA,financials
FOSB,SC Foraj Sonde SA Craiova,energy
SCDM,S.C. Unirea Shopping Center S.A.,realestate
IARV,IAR S.A.,aerospace
VNC,Vrancart S.A.,materials
VAC,Prodvinalco SA,food_beverage
